game_duration,player1_champion,player1_kills,player1_deaths,player1_assists,player1_gold,player1_experience,player1_damage_dealt,player1_damage_taken,player1_creep_score,player1_wards,player2_champion,player2_kills,player2_deaths,player2_assists,player2_gold,player2_experience,player2_damage_dealt,player2_damage_taken,player2_creep_score,player2_wards,player3_champion,player3_kills,player3_deaths,player3_assists,player3_gold,player3_experience,player3_damage_dealt,player3_damage_taken,player3_creep_score,player3_wards,player4_champion,player4_kills,player4_deaths,player4_assists,player4_gold,player4_experience,player4_damage_dealt,player4_damage_taken,player4_creep_score,player4_wards,player5_champion,player5_kills,player5_deaths,player5_assists,player5_gold,player5_experience,player5_damage_dealt,player5_damage_taken,player5_creep_score,player5_wards,player6_champion,player6_kills,player6_deaths,player6_assists,player6_gold,player6_experience,player6_damage_dealt,player6_damage_taken,player6_creep_score,player6_wards,player7_champion,player7_kills,player7_deaths,player7_assists,player7_gold,player7_experience,player7_damage_dealt,player7_damage_taken,player7_creep_score,player7_wards,player8_champion,player8_kills,player8_deaths,player8_assists,player8_gold,player8_experience,player8_damage_dealt,player8_damage_taken,player8_creep_score,player8_wards,player9_champion,player9_kills,player9_deaths,player9_assists,player9_gold,player9_experience,player9_damage_dealt,player9_damage_taken,player9_creep_score,player9_wards,player10_champion,player10_kills,player10_deaths,player10_assists,player10_gold,player10_experience,player10_damage_dealt,player10_damage_taken,player10_creep_score,player10_wards,team1_turret_plates,team1_turrets,team1_dragons,team1_grubs,team2_turret_plates,team2_turrets,team2_dragons,team2_grubs,Winning team
1946,887,2,2,2,5307,7334,10638,11742,89,6,91,3,3,1,6508,6763,4895,16587,111,1,101,1,2,0,4866,7679,5623,6332,108,5,202,3,5,3,6011,4900,8612,9762,105,16,43,2,5,3,4542,3931,4407,8041,23,15,98,6,3,2,6115,7285,9361,11604,91,66,72,1,2,6,5157,6118,5171,17626,91,3,136,2,1,4,5179,6890,6108,9713,109,5,67,6,2,4,6510,5783,6425,5918,95,4,99,2,3,10,5177,4212,7175,6884,23,24,6,1,0,3,4,1,1,3,1
1457,875,3,4,0,5247,6591,11251,10462,87,5,141,2,4,4,5151,4951,5373,13341,64,6,103,1,4,2,3843,6268,5950,9710,59,5,81,4,3,3,4848,4259,6617,9096,54,4,89,4,5,4,5271,4737,6511,11186,19,7,19,5,1,0,6767,8352,9566,15290,116,332,11,2,2,1,5041,4723,3412,13297,75,5,134,4,4,1,5632,7276,10044,8876,78,2,51,7,3,2,7171,6391,11791,6430,100,0,63,2,4,5,5329,4215,8786,10123,13,9,3,0,1,1,11,3,1,2,0
2011,223,3,1,0,5088,8153,8612,15842,97,5,35,3,2,2,4998,4155,2589,12765,66,4,69,3,0,0,5250,7673,11234,8049,108,4,21,4,2,5,5595,4859,12284,6695,82,3,89,1,2,7,4317,4278,3720,5918,21,9,122,2,3,0,5350,7954,14330,11320,106,5,106,2,3,4,4789,4501,5094,13452,63,4,38,0,2,0,4346,7032,4862,9993,95,5,222,2,2,3,4388,4534,5907,7360,69,2,555,1,4,2,3649,3420,3220,10251,11,20,3,0,2,3,3,0,0,3,1
1688,10,1,3,0,4273,5440,4497,6179,70,5,32,1,2,2,4554,5056,2274,13657,80,1,127,4,1,1,5848,8017,6995,6940,106,4,81,0,1,0,3839,4649,4184,5673,83,5,117,0,0,0,3114,4893,974,2227,21,8,48,4,2,2,6624,7214,6916,9027,103,3,30,1,1,0,5420,6641,1677,12743,124,2,131,1,3,1,5137,6788,6718,7040,90,1,18,1,0,0,4813,4990,4187,3275,103,3,25,0,0,1,3822,4354,2565,4296,27,8,3,0,1,6,11,1,1,0,0
1916,8,0,2,0,4352,6393,6886,10272,100,3,233,4,3,3,7225,7541,7399,15539,106,5,131,0,2,1,4842,6473,7056,5244,109,3,18,5,1,2,7075,5886,6957,6273,114,4,44,1,0,4,4132,4727,2286,7489,24,6,98,0,3,2,4699,7017,10139,14150,96,58,106,2,1,4,6094,6826,6065,16484,116,2,38,5,1,1,6974,7937,5219,7379,116,5,15,1,2,0,5595,6129,5359,6377,119,5,117,0,3,1,3575,4142,4147,4334,19,10,8,1,0,0,8,2,2,6,0
1942,10,1,0,2,5933,7661,5764,4555,125,4,131,7,4,6,7652,5808,11823,16463,84,5,8,3,1,3,5233,6619,7789,9302,90,4,51,3,2,2,5708,4996,5073,5864,117,5,235,2,3,8,4766,4872,3362,6373,27,9,86,0,3,1,4654,7120,5817,10985,119,5,141,2,4,2,5737,5544,4764,17611,96,3,157,5,3,2,7363,7244,10837,11763,108,8,222,1,3,5,5779,5416,4689,5479,119,4,143,2,3,2,4565,5283,6608,4824,31,119,7,1,1,3,7,2,1,3,0
1709,122,4,0,0,5932,6071,4184,6832,100,4,20,0,4,1,4306,4514,1884,14823,76,2,39,4,3,0,5916,6747,6016,12097,118,4,67,0,2,0,3838,5222,856,4917,77,3,350,0,2,1,3543,3618,2477,2174,5,4,17,0,4,0,5071,6767,3781,6954,112,20,60,1,2,3,4820,5431,2572,13283,89,4,101,1,2,2,5171,6891,8338,4146,100,7,51,7,0,3,7978,6155,10343,4226,131,5,111,2,0,8,5487,5245,3754,5024,20,11,7,1,0,3,14,2,2,3,0
2229,31,2,2,1,5454,7801,8613,9134,117,2,876,1,2,2,4425,4512,2576,17097,72,4,112,2,0,1,4965,6689,6817,3959,100,6,96,6,2,1,6023,5551,10718,7354,102,5,117,0,1,6,3849,3997,2221,4083,15,8,36,2,3,0,5593,7804,8324,13174,125,16,200,3,1,1,5720,5411,3241,12753,86,6,910,0,0,0,4892,6938,3555,3851,130,8,51,1,5,3,4650,5457,7824,8195,97,3,267,1,2,4,3956,3576,3435,6070,21,10,3,0,2,3,5,0,0,0,0
1976,420,2,3,0,4682,8020,7677,11278,93,42,11,6,0,0,6848,6171,4965,10772,97,5,777,2,3,1,5256,8025,7057,9487,96,5,42,3,3,3,5867,5726,7130,9717,108,6,99,1,3,5,4370,5001,5564,6286,21,9,150,2,2,1,5063,8380,9240,10684,104,2,80,2,1,1,4780,4918,4655,10487,71,1,85,2,2,0,4352,6650,4877,7679,72,2,236,1,4,6,4460,4779,5556,9419,53,2,800,5,5,1,5506,4903,9616,8964,44,12,7,1,2,0,3,0,0,6,0
1206,31,1,2,0,4793,6279,6136,9662,95,5,245,2,4,5,6124,6702,5677,17014,96,2,39,10,3,0,8427,7899,12765,16745,112,5,81,5,1,3,7399,6573,10282,6799,130,7,143,1,3,7,4615,4296,6298,6873,26,116,114,0,2,1,5251,6597,8466,11196,118,4,234,7,6,1,6726,5674,8637,17457,76,7,112,4,4,4,5961,7050,12779,9461,88,2,498,0,4,1,4332,5923,4457,10175,98,4,267,2,3,5,4425,3397,4121,6202,8,11,12,1,0,4,4,1,1,2,1
